name,id,z_inv,h_0,max_depth,map_x,map_y,a,b,c,bc,storage,table
88,88,105,0.00E+00,inf,317257.1,355843.5,0,0,1.00E+03,FALSE,functional,*
89,89,80,0.00E+00,inf,313349.1,352967.8,0,0,1.00E+03,FALSE,functional,*
90,90,134.43,0.00E+00,inf,295393.1,349708,0,0,1.00E+03,FALSE,functional,*
91,91,105,0.00E+00,inf,300324,352167.4,0,0,1.00E+03,FALSE,functional,*
92,92,70,0.00E+00,inf,308885.5,345623.9,0,0,1.00E+03,FALSE,functional,*
93,93,50,0.00E+00,inf,309563.3,337558.1,0,0,1.00E+03,FALSE,functional,*
94,94,75,0.00E+00,inf,298755.2,336107.2,0,0,1.00E+03,FALSE,functional,*
95,95,48,0.00E+00,inf,306864,325835.9,0,0,1.00E+03,FALSE,functional,*
96,96,170,0.00E+00,inf,361527.9,292652.6,0,0,1.00E+03,FALSE,functional,*
97,97,105,0.00E+00,inf,350306.2,299729.8,0,0,1.00E+03,FALSE,functional,*
98,98,85.74,0.00E+00,inf,342009.7,298770.1,0,0,1.00E+03,FALSE,functional,*
99,99,85,0.00E+00,inf,340932.5,300067.2,0,0,1.00E+03,FALSE,functional,*
100,100,55,0.00E+00,inf,331906.9,313445.1,0,0,1.00E+03,FALSE,functional,*
101,101,48.91,0.00E+00,inf,337168,314993.7,0,0,1.00E+03,FALSE,functional,*
102,102,45,0.00E+00,inf,325206.7,319637,0,0,1.00E+03,FALSE,functional,*
103,103,38.9,0.00E+00,inf,319202.5,323726.7,0,0,1.00E+03,FALSE,functional,*
104,104,60,0.00E+00,inf,343528.5,313201.7,0,0,1.00E+03,FALSE,functional,*
105,105,135.9,0.00E+00,inf,292582.4,276185.8,0,0,1.00E+03,FALSE,functional,*
106,106,85,0.00E+00,inf,297992,283477.5,0,0,1.00E+03,FALSE,functional,*
107,107,61.01,0.00E+00,inf,301912,292536.2,0,0,1.00E+03,FALSE,functional,*
108,108,52.84,0.00E+00,inf,305981,295362.8,0,0,1.00E+03,FALSE,functional,*
109,109,45,0.00E+00,inf,310425.7,299638.3,0,0,1.00E+03,FALSE,functional,*
110,110,35,0.00E+00,inf,317412.7,303822.4,0,0,1.00E+03,FALSE,functional,*
111,111,25,0.00E+00,inf,318751.2,270933.7,0,0,1.00E+03,FALSE,functional,*
