J_day,Sangju,Nakdan,Gumi,Chilgok,Gangjeong_Goryung,Dalsung,Hapcheon_Changnyung,Changnyung_Haman,Nakdongganghagoo
269,46.91,39.77,32.58,25.57,18.34,13.62,8.71,2.39,0.83
270,47.1,39.83,32.56,25.65,18.32,13.54,8.77,2.21,0.84
271,46.94,39.88,32.61,25.64,18.44,13.64,8.76,2.43,0.83
272,46.8,39.8,32.67,25.59,18.42,13.57,8.88,2.26,0.81
273,46.9,39.87,32.56,25.64,18.45,13.66,8.92,2.32,0.84
274,47.01,39.85,32.56,25.58,18.36,13.61,8.86,2.36,0.85
275,47.03,39.78,32.57,25.59,18.33,13.67,8.85,2.31,0.84
276,47.07,39.78,32.54,25.56,18.28,13.59,8.69,2.25,0.85
277,47.07,39.74,32.56,25.63,18.33,13.55,8.89,2.23,0.78
278,47.04,39.88,32.53,25.59,18.36,13.58,8.91,2.36,0.8
279,47.05,39.76,32.55,25.52,18.29,13.62,9.18,2.27,0.82
280,47.02,39.79,32.53,25.53,18.29,13.65,8.82,2.35,0.79
281,47.04,39.9,32.59,25.53,18.31,13.64,8.84,2.35,0.77
282,47.04,39.88,32.58,25.52,18.43,13.55,8.74,2.45,0.79
283,47.08,39.78,32.58,25.6,18.41,13.66,8.84,2.35,0.83
284,47.05,39.8,32.57,25.61,18.4,13.6,8.82,2.39,0.84
285,47.07,39.82,32.61,25.64,18.36,13.56,8.87,2.39,0.85
286,47.14,39.93,32.58,25.65,18.34,13.57,8.78,2.43,0.8
287,47.12,39.9,32.69,25.69,18.48,13.71,8.89,2.39,0.85
288,47.12,39.86,32.67,25.64,18.48,13.65,8.82,2.51,0.81
289,47.18,39.82,32.69,25.69,18.41,13.69,8.82,2.39,0.81
290,47.06,39.84,32.67,25.64,18.38,13.66,8.73,2.4,0.87
291,47,39.79,32.63,25.61,18.47,13.52,8.73,2.38,0.85
292,46.7,39.8,32.59,25.54,18.3,13.55,8.79,2.43,0.8
293,46.04,39.81,32.55,25.57,18.37,13.57,8.78,2.39,0.76
294,46.03,39.8,32.61,25.5,18.37,13.65,8.89,2.35,0.8
295,45.97,39.76,32.58,25.59,18.45,13.54,8.86,2.35,0.79
296,46.04,39.83,32.57,25.55,18.36,13.52,8.74,2.41,0.78
297,46.05,39.83,32.59,25.59,18.35,13.5,8.91,2.37,0.78
298,46.02,39.86,32.59,25.59,18.37,13.5,8.76,2.41,0.8
299,46.07,39.84,32.59,25.59,18.35,13.51,8.9,2.32,0.82
300,46.02,39.85,32.61,25.59,18.34,13.52,8.72,2.41,0.84
301,46.38,39.68,32.58,25.61,18.3,13.64,8.71,2.41,0.85
302,46.62,39.76,32.61,25.6,18.27,13.57,8.81,2.35,0.82
303,46.62,39.78,32.65,25.66,18.32,13.64,8.79,2.33,0.8
304,46.66,39.73,32.66,25.67,18.4,13.55,8.73,2.46,0.82
305,46.66,39.7,32.65,25.65,18.32,13.57,8.77,2.77,0.81
306,46.64,39.7,32.59,25.53,18.32,13.52,8.75,3.21,0.8
307,46.6,39.74,32.59,25.52,18.27,13.52,8.81,3.25,0.83
308,46.64,39.74,32.58,25.53,18.27,13.56,8.78,3.3,0.79
309,46.77,39.83,31.97,25.2,18.42,13.52,8.8,3.33,0.8
310,46.74,39.8,31.54,25.01,18.37,13.57,8.72,3.17,0.79
311,46.73,39.72,31.04,25.06,18.41,13.59,8.67,3.17,0.84
312,46.67,39.84,30.54,25.26,18.49,13.58,8.91,3.28,0.86
313,46.66,39.78,30.59,24.97,18.4,13.6,8.82,3.31,0.89
314,46.65,39.82,30.51,25.14,18.38,13.56,8.72,3.22,0.86
315,46.65,39.86,30.68,25.2,18.31,13.58,8.79,3.23,0.88
316,46.68,39.76,30.7,25.12,18.3,13.54,8.74,3.35,0.87
317,46.69,39.82,30.7,25.09,18.29,13.52,8.8,3.35,0.86
318,46.62,39.76,30.55,25.17,18.34,13.54,8.82,3.28,0.86
319,46.69,39.79,30.61,25.14,18.24,13.58,8.75,3.31,0.83
320,46.92,39.79,30.53,25.11,18.29,13.57,8.84,3.24,0.82
321,47.06,39.79,30.59,25.13,18.32,13.6,8.73,3.34,0.88
322,47.04,39.82,30.64,25.17,18.34,13.61,8.89,3.45,0.88
323,47.03,39.73,30.55,25.15,18.39,13.53,8.82,3.97,0.82
324,47.03,39.74,30.61,25.13,18.27,13.57,8.76,4.16,0.82
325,47.03,39.7,30.58,25.28,18.26,13.59,8.83,4.22,0.84
326,47.07,39.79,30.54,25.42,18.29,13.59,8.9,4.28,0.83
327,47.15,39.78,30.65,25.43,18.37,13.59,8.69,4.24,0.84
328,47.18,39.83,30.56,25.45,18.38,13.59,8.85,4.35,0.81
329,47.17,39.71,30.64,25.47,18.35,13.59,8.8,4.31,0.83
330,47.12,39.79,30.62,25.41,18.37,13.68,8.86,4.23,0.84
331,47.09,39.87,30.65,25.42,18.36,13.59,8.71,4.27,0.82
332,47.06,39.83,30.61,25.43,18.37,13.55,8.88,4.28,0.83
333,47.05,39.76,30.72,25.11,18.38,13.58,8.79,4.44,0.83
334,47.09,39.81,30.68,24.65,18.36,13.6,8.82,4.5,0.83
335,47.1,39.73,30.59,24.9,18.32,13.57,8.5,4.35,0.83
336,47.09,39.8,30.67,24.51,18.38,13.51,8.42,4.34,0.85
337,47.07,39.79,30.63,24.63,18.32,13.57,8.23,4.28,0.83
338,47.06,39.78,30.59,24.63,18.39,13.59,8.04,4.31,0.85
339,47.06,39.75,30.57,24.62,18.37,13.6,7.84,4.32,0.84
340,47.08,39.78,30.64,24.62,18.29,13.59,7.71,4.22,0.82
341,47.1,39.85,30.61,24.66,18.32,13.57,7.61,4.28,0.86
342,47.01,39.77,30.67,24.65,18.37,13.67,7.49,4.34,0.85
343,46.99,39.74,30.53,24.61,18.4,13.57,7.13,4.23,0.84
344,47.02,39.77,30.53,24.62,18.33,13.5,7,4.3,0.83
345,47.04,39.88,30.73,24.61,18.25,13.57,6.85,4.24,0.88
346,47.05,39.8,30.53,24.65,18.4,13.59,6.59,4.36,0.87
347,47.03,39.81,30.61,24.69,18.38,13.59,6.49,4.22,0.85
348,47.09,39.71,30.61,24.65,18.41,13.48,6.43,4.47,0.9
349,47,39.75,30.54,24.56,18.3,13.67,6.08,4.84,0.89
